model-name,phase,attempt,intervention,score_criteria1,score_criteria2,score_criteria3,score_criteria4,score_criteria5,score_criteria6,score_criteria7,compound_score,std_score
deepseek-r1:14b,1,1,False,3,2,4,3,2,3,4,21,0.816496580927726
deepseek-r1:14b,1,2,False,2,2,2,2,2,2,3,15,0.37796447300922725
deepseek-r1:14b,1,3,False,3,3,2,2,3,2,2,17,0.5345224838248487
deepseek-r1:14b,1,4,False,3,3,3,3,4,3,2,21,0.5773502691896257
deepseek-r1:14b,1,5,False,2,2,2,3,3,3,2,17,0.5345224838248487
deepseek-r1:14b,1,6,False,3,4,4,3,4,4,2,24,0.7867957924694432
deepseek-r1:14b,1,7,False,2,2,2,1,3,3,2,15,0.6900655593423541
deepseek-r1:14b,1,8,False,3,3,4,3,3,3,2,21,0.5773502691896257
deepseek-r1:14b,1,9,False,2,2,2,3,2,2,2,15,0.37796447300922725
deepseek-r1:14b,1,10,False,3,3,2,2,3,2,2,17,0.5345224838248487
deepseek-r1:32b,1,1,False,1,1,1,1,1,1,1,7,0.0
deepseek-r1:32b,1,2,False,3,4,2,3,3,2,2,19,0.7559289460184545
deepseek-r1:32b,1,3,False,3,3,4,3,2,4,3,22,0.6900655593423541
deepseek-r1:32b,1,4,False,3,2,5,3,3,4,2,22,1.0690449676496974
deepseek-r1:32b,1,5,False,3,3,2,3,3,3,2,19,0.48795003647426655
deepseek-r1:32b,1,6,False,3,2,3,3,2,3,2,18,0.5345224838248488
deepseek-r1:32b,1,7,False,3,3,2,3,3,2,2,18,0.5345224838248488
deepseek-r1:32b,1,8,False,3,3,4,2,4,3,2,21,0.816496580927726
deepseek-r1:32b,1,9,False,3,2,2,2,2,2,2,15,0.3779644730092273
deepseek-r1:32b,1,10,False,3,3,4,2,3,3,3,21,0.5773502691896257
deepseek-v3.1:671b-cloud,1,1,False,5,5,5,5,5,5,5,35,0.0
deepseek-v3.1:671b-cloud,1,2,False,5,5,5,5,5,5,5,35,0.0
deepseek-v3.1:671b-cloud,1,3,False,5,5,5,5,5,5,5,35,0.0
deepseek-v3.1:671b-cloud,1,4,False,5,5,5,5,5,5,5,35,0.0
deepseek-v3.1:671b-cloud,1,5,False,4,5,5,5,5,5,5,34,0.37796447300922725
deepseek-v3.1:671b-cloud,1,6,False,5,5,5,5,5,5,5,35,0.0
deepseek-v3.1:671b-cloud,1,7,False,5,5,5,5,5,5,5,35,0.0
deepseek-v3.1:671b-cloud,1,8,False,5,5,5,5,5,5,5,35,0.0
deepseek-v3.1:671b-cloud,1,9,False,4,5,5,5,5,5,5,34,0.37796447300922725
deepseek-v3.1:671b-cloud,1,10,False,5,5,5,5,4,5,5,34,0.37796447300922725
llama3.2:1b,1,1,False,2,1,2,3,1,3,2,14,0.816496580927726
llama3.2:1b,1,2,False,3,4,4,2,3,3,3,22,0.6900655593423541
llama3.2:1b,1,3,False,2,2,1,2,3,4,2,16,0.9511897312113419
llama3.2:1b,1,4,False,3,4,4,3,2,5,3,24,0.9759000729485332
llama3.2:1b,1,5,False,2,3,2,2,2,2,2,15,0.3779644730092273
llama3.2:1b,1,6,False,3,2,3,2,3,1,2,16,0.7559289460184545
llama3.2:1b,1,7,False,1,1,2,2,2,1,1,10,0.5345224838248488
llama3.2:1b,1,8,False,3,4,4,3,2,4,2,22,0.8997354108424372
llama3.2:1b,1,9,False,3,4,3,3,2,3,2,20,0.6900655593423541
llama3.2:1b,1,10,False,2,2,1,2,3,2,3,15,0.6900655593423541
llama3.2:3b,1,1,False,2,1,2,2,2,2,2,13,0.3779644730092273
llama3.2:3b,1,2,False,2,2,3,3,3,4,3,20,0.6900655593423543
llama3.2:3b,1,3,False,3,4,1,2,2,3,2,17,0.9759000729485333
llama3.2:3b,1,4,False,3,4,3,3,4,2,4,23,0.7559289460184545
llama3.2:3b,1,5,False,2,2,4,2,2,3,1,16,0.9511897312113419
llama3.2:3b,1,6,False,3,4,4,5,2,4,2,24,1.1338934190276817
llama3.2:3b,1,7,False,3,4,4,3,2,3,3,22,0.6900655593423541
llama3.2:3b,1,8,False,3,3,2,2,2,3,2,17,0.5345224838248487
llama3.2:3b,1,9,False,1,4,1,1,2,1,2,12,1.1126972805283735
llama3.2:3b,1,10,False,3,2,5,4,4,5,3,26,1.1126972805283737
llama3.3:70b,1,1,False,4,4,4,3,4,3,4,26,0.4879500364742666
llama3.3:70b,1,2,False,4,4,4,4,4,4,3,27,0.37796447300922725
llama3.3:70b,1,3,False,3,4,4,4,4,3,4,26,0.4879500364742666
llama3.3:70b,1,4,False,4,4,4,4,4,4,4,28,0.0
llama3.3:70b,1,5,False,3,4,4,4,3,4,4,26,0.48795003647426655
llama3.3:70b,1,6,False,3,4,4,3,4,3,3,24,0.5345224838248487
llama3.3:70b,1,7,False,3,4,4,3,4,4,3,25,0.5345224838248487
llama3.3:70b,1,8,False,3,4,4,3,4,4,3,25,0.5345224838248487
llama3.3:70b,1,9,False,3,4,4,4,4,4,3,26,0.48795003647426655
llama3.3:70b,1,10,False,4,4,4,4,4,3,4,27,0.37796447300922725
mistral-small:22b,1,1,False,3,4,4,3,4,3,3,24,0.5345224838248487
mistral-small:22b,1,2,False,3,4,3,4,4,3,4,25,0.5345224838248487
mistral-small:22b,1,3,False,4,2,3,2,3,4,3,21,0.816496580927726
mistral-small:22b,1,4,False,4,4,3,4,4,4,3,26,0.48795003647426655
mistral-small:22b,1,5,False,3,3,4,4,4,4,3,25,0.5345224838248487
mistral-small:22b,1,6,False,4,4,4,4,3,4,2,25,0.7867957924694432
mistral-small:22b,1,7,False,4,4,4,3,4,3,3,25,0.5345224838248487
mistral-small:22b,1,8,False,3,4,4,3,5,4,4,27,0.6900655593423541
mistral-small:22b,1,9,False,4,4,4,4,4,4,2,26,0.7559289460184545
mistral-small:22b,1,10,False,5,4,4,3,4,4,2,26,0.9511897312113419
qwen3:14b,1,1,False,4,3,4,4,4,3,5,27,0.6900655593423543
qwen3:14b,1,2,False,3,4,3,2,4,4,4,24,0.7867957924694432
qwen3:14b,1,3,False,3,3,1,3,2,5,2,19,1.2535663410560174
qwen3:14b,1,4,False,1,2,4,3,2,2,2,16,0.9511897312113419
qwen3:14b,1,5,False,2,2,4,2,4,4,3,21,1.0
qwen3:14b,1,6,False,2,2,2,2,1,2,3,14,0.5773502691896257
qwen3:14b,1,7,False,2,2,2,4,4,2,2,18,0.9759000729485333
qwen3:14b,1,8,False,4,4,3,4,2,3,4,24,0.7867957924694432
qwen3:14b,1,9,False,2,1,2,2,5,2,2,16,1.2535663410560174
qwen3:14b,1,10,False,1,2,4,4,2,3,4,20,1.2149857925879117
qwen3:4b,1,1,False,4,5,4,5,4,5,5,32,0.5345224838248488
qwen3:4b,1,2,False,3,3,4,5,3,4,3,25,0.7867957924694432
qwen3:4b,1,3,False,2,1,4,2,2,1,3,15,1.0690449676496974
qwen3:4b,1,4,False,4,4,4,4,4,5,4,29,0.37796447300922725
qwen3:4b,1,5,False,3,4,5,3,4,5,1,25,1.3972762620115438
qwen3:4b,1,6,False,4,1,1,2,2,4,2,16,1.2535663410560174
qwen3:4b,1,7,False,4,5,5,5,4,5,4,32,0.5345224838248488
qwen3:4b,1,8,False,4,3,2,4,2,5,2,22,1.2149857925879117
qwen3:4b,1,9,False,4,3,1,4,1,5,2,20,1.5735915849388864
qwen3:4b,1,10,False,4,4,5,4,5,5,2,29,1.0690449676496976
smollm2:135m,1,1,False,1,1,1,1,1,1,1,7,0.0
smollm2:135m,1,4,False,1,1,1,1,1,1,1,7,0.0
smollm2:135m,1,5,False,1,1,1,1,1,1,1,7,0.0
smollm2:135m,1,6,False,1,1,1,1,1,1,1,7,0.0
smollm2:135m,1,7,False,1,1,1,1,1,1,1,7,0.0
smollm2:135m,1,8,False,1,1,1,1,1,1,1,7,0.0
smollm2:135m,1,10,False,1,1,1,1,1,1,1,7,0.0
smollm2:135m,1,11,False,1,1,1,1,1,1,1,7,0.0
smollm2:135m,1,12,False,1,1,1,1,1,1,1,7,0.0
smollm2:135m,1,14,False,1,1,1,2,1,1,1,8,0.37796447300922725
deepseek-r1:14b,2,1,True,3,4,4,3,3,3,4,24,0.5345224838248487
deepseek-r1:14b,2,2,True,3,4,3,3,4,4,2,23,0.7559289460184545
deepseek-r1:14b,2,3,True,3,3,2,2,3,3,2,18,0.5345224838248487
deepseek-r1:14b,2,4,True,4,2,2,2,3,3,2,18,0.7867957924694432
deepseek-r1:14b,2,5,True,3,3,2,3,3,3,2,19,0.48795003647426655
deepseek-r1:14b,2,6,True,4,4,3,3,2,2,3,21,0.816496580927726
deepseek-r1:14b,2,7,True,3,3,4,3,2,3,3,21,0.5773502691896257
deepseek-r1:14b,2,8,True,3,2,2,4,2,3,2,18,0.7867957924694432
deepseek-r1:14b,2,9,True,2,2,3,2,2,4,2,17,0.7867957924694432
deepseek-r1:14b,2,10,True,4,3,2,3,3,3,3,21,0.5773502691896257
deepseek-r1:32b,2,1,True,4,4,3,3,3,3,3,23,0.48795003647426655
deepseek-r1:32b,2,2,True,4,3,3,3,3,3,2,21,0.5773502691896257
deepseek-r1:32b,2,3,True,4,4,4,3,4,5,3,27,0.6900655593423543
deepseek-r1:32b,2,4,True,3,3,2,3,3,3,2,19,0.48795003647426655
deepseek-r1:32b,2,5,True,2,3,2,3,2,3,2,17,0.5345224838248487
deepseek-r1:32b,2,6,True,3,3,3,3,2,5,3,22,0.8997354108424372
deepseek-r1:32b,2,7,True,2,4,4,2,3,2,2,19,0.9511897312113419
deepseek-r1:32b,2,8,True,2,3,5,4,4,4,2,24,1.1338934190276817
deepseek-r1:32b,2,9,True,2,4,2,2,2,2,2,16,0.7559289460184546
deepseek-r1:32b,2,10,True,3,3,3,3,2,3,4,21,0.5773502691896257
deepseek-v3.1:671b-cloud,2,1,True,5,5,5,5,5,5,4,34,0.37796447300922725
deepseek-v3.1:671b-cloud,2,2,True,5,5,5,5,5,5,5,35,0.0
deepseek-v3.1:671b-cloud,2,3,True,4,5,4,5,5,5,5,33,0.48795003647426655
deepseek-v3.1:671b-cloud,2,4,True,5,5,5,5,5,5,5,35,0.0
deepseek-v3.1:671b-cloud,2,5,True,5,5,5,5,5,5,5,35,0.0
deepseek-v3.1:671b-cloud,2,6,True,4,5,5,5,5,5,5,34,0.37796447300922725
deepseek-v3.1:671b-cloud,2,7,True,5,5,5,5,5,5,5,35,0.0
deepseek-v3.1:671b-cloud,2,8,True,4,5,5,5,5,5,5,34,0.37796447300922725
deepseek-v3.1:671b-cloud,2,9,True,5,5,5,5,5,5,5,35,0.0
deepseek-v3.1:671b-cloud,2,10,True,5,5,5,5,5,5,5,35,0.0
llama3.2:1b,2,1,True,2,2,3,3,3,2,3,18,0.5345224838248487
llama3.2:1b,2,2,True,3,3,3,4,3,2,2,20,0.6900655593423541
llama3.2:1b,2,3,True,4,5,4,3,4,4,3,27,0.6900655593423541
llama3.2:1b,2,4,True,3,2,4,3,4,3,3,22,0.6900655593423541
llama3.2:1b,2,5,True,3,2,4,3,3,3,2,20,0.6900655593423541
llama3.2:1b,2,6,True,3,3,1,3,3,2,3,18,0.7867957924694432
llama3.2:1b,2,7,True,4,4,4,3,2,3,2,22,0.8997354108424372
llama3.2:1b,2,8,True,4,4,3,3,3,4,2,23,0.7559289460184545
llama3.2:1b,2,9,True,3,4,4,2,3,3,3,22,0.6900655593423541
llama3.2:1b,2,10,True,4,4,3,3,2,3,3,22,0.6900655593423541
llama3.2:3b,2,1,False,2,4,4,3,4,2,2,21,1.0
llama3.2:3b,2,2,False,3,5,2,3,4,4,2,23,1.1126972805283737
llama3.2:3b,2,3,False,2,2,3,2,1,2,2,14,0.5773502691896257
llama3.2:3b,2,4,False,4,4,1,3,3,4,2,21,1.1547005383792515
llama3.2:3b,2,5,False,2,2,1,2,2,2,2,13,0.37796447300922725
llama3.2:3b,2,6,False,3,4,4,2,2,3,1,19,1.1126972805283737
llama3.2:3b,2,7,False,2,3,2,2,3,4,2,18,0.7867957924694432
llama3.2:3b,2,8,False,3,3,2,2,4,2,2,18,0.7867957924694432
llama3.2:3b,2,9,False,1,3,1,3,4,4,2,18,1.2724180205607036
llama3.2:3b,2,10,False,1,2,2,1,2,2,2,12,0.48795003647426666
llama3.3:70b,2,1,False,3,4,4,3,4,3,3,24,0.5345224838248487
llama3.3:70b,2,2,False,3,4,4,3,4,5,4,27,0.6900655593423543
llama3.3:70b,2,3,False,4,4,4,4,5,4,4,29,0.37796447300922725
llama3.3:70b,2,4,False,4,4,4,4,4,4,3,27,0.37796447300922725
llama3.3:70b,2,5,False,3,4,4,4,4,4,4,27,0.3779644730092273
llama3.3:70b,2,6,False,4,4,4,4,4,4,4,28,0.0
llama3.3:70b,2,7,False,3,4,4,4,3,4,2,24,0.7867957924694432
llama3.3:70b,2,8,False,3,4,4,4,3,3,4,25,0.5345224838248488
llama3.3:70b,2,9,False,5,4,4,4,3,3,4,27,0.6900655593423541
llama3.3:70b,2,10,False,3,4,4,3,3,3,4,24,0.5345224838248487
mistral-small:22b,2,1,False,3,4,4,3,4,4,4,26,0.4879500364742666
mistral-small:22b,2,2,False,3,4,2,3,4,3,3,22,0.6900655593423541
mistral-small:22b,2,3,False,4,2,3,4,5,2,2,22,1.2149857925879117
mistral-small:22b,2,4,False,3,4,4,4,4,4,3,26,0.48795003647426655
mistral-small:22b,2,5,False,4,4,4,4,4,4,2,26,0.7559289460184545
mistral-small:22b,2,6,False,3,5,4,3,5,4,3,27,0.8997354108424372
mistral-small:22b,2,7,False,4,4,4,4,4,4,3,27,0.37796447300922725
mistral-small:22b,2,8,False,4,5,4,3,4,4,4,28,0.5773502691896257
mistral-small:22b,2,9,False,3,4,3,3,3,3,2,21,0.5773502691896257
mistral-small:22b,2,10,False,3,4,4,3,4,4,4,26,0.4879500364742666
qwen3:14b,2,1,False,2,2,2,2,4,4,2,18,0.9759000729485332
qwen3:14b,2,2,False,2,2,2,2,3,5,4,20,1.2149857925879117
qwen3:14b,2,3,False,3,3,4,3,4,5,4,26,0.7559289460184545
qwen3:14b,2,4,False,1,2,4,3,2,2,3,17,0.9759000729485333
qwen3:14b,2,5,False,4,2,3,3,1,4,5,22,1.3451854182690985
qwen3:14b,2,6,False,4,2,4,3,4,5,4,26,0.951189731211342
qwen3:14b,2,7,False,2,4,1,3,2,2,2,16,0.951189731211342
qwen3:14b,2,8,False,3,4,4,5,5,2,5,28,1.1547005383792515
qwen3:14b,2,9,False,2,5,5,2,1,2,2,19,1.6035674514745462
qwen3:14b,2,10,False,3,3,2,2,3,3,4,20,0.6900655593423543
qwen3:4b,2,1,True,5,5,4,5,5,5,5,34,0.37796447300922725
qwen3:4b,2,2,True,4,2,3,5,2,2,3,21,1.1547005383792515
qwen3:4b,2,3,True,5,5,4,5,4,4,5,32,0.5345224838248488
qwen3:4b,2,4,True,4,2,1,5,5,4,1,22,1.7728105208558367
qwen3:4b,2,5,True,4,5,5,5,5,5,5,34,0.37796447300922725
qwen3:4b,2,6,True,5,5,5,5,4,5,5,34,0.37796447300922725
qwen3:4b,2,7,True,5,4,5,5,5,4,5,33,0.4879500364742666
qwen3:4b,2,8,True,5,2,4,5,4,4,5,29,1.0690449676496974
qwen3:4b,2,9,True,5,5,5,5,5,5,4,34,0.37796447300922725
qwen3:4b,2,10,True,5,5,4,3,2,5,5,29,1.2149857925879117
smollm2:135m,2,1,False,1,1,1,1,1,1,1,7,0.0
smollm2:135m,2,3,False,1,1,1,1,1,1,1,7,0.0
smollm2:135m,2,4,False,2,1,1,1,1,1,1,8,0.3779644730092273
smollm2:135m,2,5,False,1,1,1,1,1,1,1,7,0.0
smollm2:135m,2,6,False,1,1,1,1,1,1,1,7,0.0
smollm2:135m,2,8,False,1,1,1,1,1,1,1,7,0.0
smollm2:135m,2,9,False,1,1,1,1,1,1,1,7,0.0
smollm2:135m,2,10,False,1,1,1,1,1,1,1,7,0.0
deepseek-r1:14b,3,1,False,2,2,3,3,3,3,2,18,0.5345224838248487
deepseek-r1:14b,3,2,False,2,2,2,2,3,3,2,16,0.4879500364742666
deepseek-r1:14b,3,3,False,4,2,2,3,2,3,2,18,0.7867957924694432
deepseek-r1:14b,3,4,False,3,3,3,3,3,3,2,20,0.37796447300922725
deepseek-r1:14b,3,5,False,3,3,2,3,2,3,2,18,0.5345224838248488
deepseek-r1:14b,3,6,False,3,2,2,2,2,2,2,15,0.3779644730092273
deepseek-r1:14b,3,7,False,3,4,2,3,3,3,2,20,0.6900655593423541
deepseek-r1:14b,3,8,False,3,3,3,2,3,3,3,20,0.37796447300922725
deepseek-r1:14b,3,9,False,3,2,2,3,3,3,2,18,0.5345224838248487
deepseek-r1:14b,3,10,False,2,3,2,3,2,2,2,16,0.4879500364742666
deepseek-r1:32b,3,1,False,3,2,3,3,2,2,2,17,0.5345224838248487
deepseek-r1:32b,3,2,False,3,3,3,3,3,3,2,20,0.37796447300922725
deepseek-r1:32b,3,3,False,3,3,3,3,3,3,2,20,0.37796447300922725
deepseek-r1:32b,3,4,False,2,3,2,3,2,3,2,17,0.5345224838248487
deepseek-r1:32b,3,5,False,3,2,2,2,2,2,2,15,0.3779644730092273
deepseek-r1:32b,3,6,False,3,2,5,2,2,3,2,19,1.1126972805283737
deepseek-r1:32b,3,7,False,3,2,1,3,1,4,3,17,1.1338934190276817
deepseek-r1:32b,3,8,False,2,3,2,3,2,2,3,17,0.5345224838248487
deepseek-r1:32b,3,9,False,3,3,2,3,3,3,2,19,0.48795003647426655
deepseek-r1:32b,3,10,False,3,4,3,3,3,2,2,20,0.6900655593423543
deepseek-v3.1:671b-cloud,3,1,False,5,5,4,5,5,5,5,34,0.37796447300922725
deepseek-v3.1:671b-cloud,3,2,False,5,5,5,5,5,5,5,35,0.0
deepseek-v3.1:671b-cloud,3,3,False,5,5,5,5,5,5,5,35,0.0
deepseek-v3.1:671b-cloud,3,4,False,5,5,5,5,5,5,5,35,0.0
deepseek-v3.1:671b-cloud,3,5,False,4,5,5,5,5,5,5,34,0.37796447300922725
deepseek-v3.1:671b-cloud,3,6,False,5,5,5,5,5,5,5,35,0.0
deepseek-v3.1:671b-cloud,3,7,False,5,5,5,5,5,5,5,35,0.0
deepseek-v3.1:671b-cloud,3,8,False,4,5,5,4,5,5,5,33,0.4879500364742666
deepseek-v3.1:671b-cloud,3,9,False,4,5,5,3,5,5,5,32,0.7867957924694431
deepseek-v3.1:671b-cloud,3,10,False,5,5,5,5,5,5,5,35,0.0
llama3.2:1b,3,1,False,2,1,3,2,3,3,2,16,0.7559289460184545
llama3.2:1b,3,2,False,3,4,2,3,2,2,4,20,0.8997354108424372
llama3.2:1b,3,3,False,1,1,1,2,1,1,3,10,0.7867957924694432
llama3.2:1b,3,4,False,2,4,2,3,3,3,2,19,0.7559289460184545
llama3.2:1b,3,5,False,3,4,4,4,3,2,2,22,0.8997354108424372
llama3.2:1b,3,6,False,3,5,4,2,3,3,2,22,1.0690449676496974
llama3.2:1b,3,7,False,2,1,2,1,1,1,2,10,0.5345224838248488
llama3.2:1b,3,8,False,3,4,3,3,4,3,2,22,0.6900655593423543
llama3.2:1b,3,9,False,2,2,2,2,2,2,2,14,0.0
llama3.2:1b,3,10,False,1,2,5,2,1,3,1,15,1.4638501094227998
llama3.2:3b,3,1,False,4,4,4,4,4,4,4,28,0.0
llama3.2:3b,3,2,False,2,5,1,1,1,1,1,12,1.496026483086191
llama3.2:3b,3,3,False,3,4,4,3,4,3,3,24,0.5345224838248487
llama3.2:3b,3,4,False,3,2,1,3,3,2,2,16,0.7559289460184545
llama3.2:3b,3,5,False,2,4,4,3,3,2,3,21,0.816496580927726
llama3.2:3b,3,6,False,4,2,4,3,4,4,4,25,0.7867957924694432
llama3.2:3b,3,7,False,3,4,4,2,2,4,3,22,0.8997354108424372
llama3.2:3b,3,8,False,2,4,2,3,3,3,3,20,0.6900655593423541
llama3.2:3b,3,9,False,2,2,4,2,4,2,2,18,0.9759000729485333
llama3.2:3b,3,10,False,3,4,4,2,3,4,5,25,0.9759000729485333
llama3.3:70b,3,1,False,3,4,4,4,4,4,3,26,0.48795003647426655
llama3.3:70b,3,2,False,3,4,4,4,3,4,3,25,0.5345224838248488
llama3.3:70b,3,3,False,3,4,4,4,4,4,3,26,0.48795003647426655
llama3.3:70b,3,4,False,3,4,4,3,3,4,4,25,0.5345224838248487
llama3.3:70b,3,5,False,3,5,4,4,5,4,4,29,0.6900655593423543
llama3.3:70b,3,6,False,3,4,4,4,4,3,3,25,0.5345224838248488
llama3.3:70b,3,7,False,5,4,4,4,4,4,4,29,0.37796447300922725
llama3.3:70b,3,8,False,5,4,4,4,4,4,4,29,0.37796447300922725
