model-name,phase,attempt,intervention,score_criteria1,score_criteria2,score_criteria3,score_criteria4,score_criteria5,score_criteria6,score_criteria7,compound_score,std_score
deepseek-r1:14b,1,1,False,3,4,3,4,4,4,5,27,0.6900655593423543
deepseek-r1:14b,1,2,False,2,4,5,3,2,3,5,24,1.2724180205607036
deepseek-r1:14b,1,3,False,4,5,5,4,5,3,5,31,0.7867957924694432
deepseek-r1:14b,1,4,False,2,4,4,2,3,4,2,21,1.0
deepseek-r1:14b,1,5,False,3,4,3,4,5,3,3,25,0.7867957924694432
deepseek-r1:14b,1,6,False,4,4,4,5,5,4,4,30,0.48795003647426655
deepseek-r1:14b,1,7,False,3,2,3,3,3,3,2,19,0.48795003647426655
deepseek-r1:14b,1,8,False,4,4,4,4,5,4,5,30,0.48795003647426666
deepseek-r1:14b,1,9,False,3,5,4,2,2,3,3,22,1.0690449676496974
deepseek-r1:14b,1,10,False,3,2,4,4,5,4,5,27,1.0690449676496974
deepseek-r1:32b,1,1,False,1,1,1,1,1,1,1,7,0.0
deepseek-r1:32b,1,2,False,5,5,5,5,5,4,5,34,0.37796447300922725
deepseek-r1:32b,1,3,False,4,5,4,4,4,4,5,30,0.48795003647426655
deepseek-r1:32b,1,4,False,4,3,3,4,3,4,5,26,0.7559289460184544
deepseek-r1:32b,1,5,False,4,2,5,4,4,4,3,26,0.951189731211342
deepseek-r1:32b,1,6,False,4,4,4,3,4,4,5,28,0.5773502691896257
deepseek-r1:32b,1,7,False,3,4,4,4,5,4,3,27,0.6900655593423541
deepseek-r1:32b,1,8,False,5,4,5,4,4,3,5,30,0.7559289460184545
deepseek-r1:32b,1,9,False,3,1,3,2,4,5,2,20,1.3451854182690985
deepseek-r1:32b,1,10,False,4,4,4,4,5,4,5,30,0.48795003647426666
deepseek-v3.1:671b-cloud,1,1,False,5,5,5,5,5,5,5,35,0.0
deepseek-v3.1:671b-cloud,1,2,False,5,5,5,5,5,5,5,35,0.0
deepseek-v3.1:671b-cloud,1,3,False,4,5,5,5,5,5,5,34,0.37796447300922725
deepseek-v3.1:671b-cloud,1,4,False,5,5,5,5,5,5,5,35,0.0
deepseek-v3.1:671b-cloud,1,5,False,5,5,5,5,5,5,5,35,0.0
deepseek-v3.1:671b-cloud,1,6,False,5,5,5,5,5,5,5,35,0.0
deepseek-v3.1:671b-cloud,1,7,False,5,5,5,5,5,5,5,35,0.0
deepseek-v3.1:671b-cloud,1,8,False,5,5,5,5,5,5,5,35,0.0
deepseek-v3.1:671b-cloud,1,9,False,5,5,5,5,5,5,5,35,0.0
deepseek-v3.1:671b-cloud,1,10,False,5,5,5,5,5,5,5,35,0.0
llama3.2:1b,1,1,False,2,5,2,4,2,2,3,20,1.2149857925879117
llama3.2:1b,1,2,False,4,4,4,4,4,5,4,29,0.37796447300922725
llama3.2:1b,1,3,False,5,4,5,4,4,4,4,30,0.48795003647426655
llama3.2:1b,1,4,False,4,4,5,4,4,5,5,31,0.5345224838248488
llama3.2:1b,1,5,False,4,4,3,2,5,5,3,26,1.1126972805283737
llama3.2:1b,1,6,False,4,5,4,4,4,5,3,29,0.6900655593423543
llama3.2:1b,1,7,False,1,1,1,1,5,4,2,15,1.6761634196950517
llama3.2:1b,1,8,False,5,5,5,5,4,5,4,33,0.48795003647426666
llama3.2:1b,1,9,False,2,4,4,4,4,3,5,26,0.951189731211342
llama3.2:1b,1,10,False,1,5,5,4,3,2,3,23,1.4960264830861911
llama3.2:3b,1,1,False,1,4,4,3,5,5,4,26,1.3801311186847083
llama3.2:3b,1,2,False,2,4,5,4,4,5,5,29,1.0690449676496974
llama3.2:3b,1,3,False,1,5,5,4,5,5,5,30,1.496026483086191
llama3.2:3b,1,4,False,5,5,5,3,5,4,4,31,0.7867957924694431
llama3.2:3b,1,5,False,1,4,2,2,5,2,5,21,1.632993161855452
llama3.2:3b,1,6,False,3,5,5,4,4,3,5,29,0.8997354108424372
llama3.2:3b,1,7,False,4,5,5,4,4,5,4,31,0.5345224838248488
llama3.2:3b,1,8,False,4,2,5,3,5,3,4,26,1.1126972805283737
llama3.2:3b,1,9,False,1,1,1,1,1,4,1,10,1.1338934190276815
llama3.2:3b,1,10,False,3,5,4,5,4,5,5,31,0.7867957924694431
llama3.3:70b,1,1,False,5,5,5,4,4,4,5,32,0.5345224838248488
llama3.3:70b,1,2,False,4,5,5,4,4,5,5,32,0.5345224838248488
llama3.3:70b,1,3,False,4,5,5,4,4,5,5,32,0.5345224838248488
llama3.3:70b,1,4,False,5,5,5,5,4,4,5,33,0.4879500364742666
llama3.3:70b,1,5,False,4,5,5,4,4,5,4,31,0.5345224838248488
llama3.3:70b,1,6,False,5,4,5,4,5,4,5,32,0.5345224838248488
llama3.3:70b,1,7,False,4,4,5,4,4,5,5,31,0.5345224838248488
llama3.3:70b,1,8,False,4,5,5,4,5,5,5,33,0.4879500364742666
llama3.3:70b,1,9,False,4,5,5,4,5,5,5,33,0.4879500364742666
llama3.3:70b,1,10,False,3,4,4,4,4,4,5,28,0.5773502691896257
mistral-small:22b,1,1,False,5,4,5,4,5,4,5,32,0.5345224838248488
mistral-small:22b,1,2,False,4,4,4,4,5,4,5,30,0.48795003647426666
mistral-small:22b,1,3,False,4,5,5,5,5,5,5,34,0.37796447300922725
mistral-small:22b,1,4,False,4,5,5,5,4,5,5,33,0.48795003647426655
mistral-small:22b,1,5,False,4,5,5,5,5,5,5,34,0.37796447300922725
mistral-small:22b,1,6,False,4,5,5,4,5,5,5,33,0.4879500364742666
mistral-small:22b,1,7,False,4,5,4,4,4,4,4,29,0.37796447300922725
mistral-small:22b,1,8,False,5,4,5,4,5,5,5,33,0.4879500364742666
mistral-small:22b,1,9,False,4,4,5,4,5,5,5,32,0.5345224838248488
mistral-small:22b,1,10,False,4,4,5,4,5,5,5,32,0.5345224838248488
qwen3:14b,1,1,False,4,5,4,4,3,5,5,30,0.7559289460184545
qwen3:14b,1,2,False,4,4,5,3,5,5,5,31,0.7867957924694431
qwen3:14b,1,3,False,2,1,1,2,4,4,5,19,1.6035674514745462
qwen3:14b,1,4,False,2,2,5,4,2,5,2,22,1.4638501094227998
qwen3:14b,1,5,False,4,5,5,5,5,1,4,29,1.4638501094227998
qwen3:14b,1,6,False,5,5,4,5,3,5,2,29,1.2149857925879117
qwen3:14b,1,7,False,5,3,5,3,5,5,5,31,0.9759000729485332
qwen3:14b,1,8,False,5,2,4,5,5,4,4,29,1.0690449676496974
qwen3:14b,1,9,False,3,4,2,2,5,5,5,26,1.3801311186847083
qwen3:14b,1,10,False,2,1,4,4,5,4,5,25,1.5118578920369088
qwen3:4b,1,1,False,5,5,5,4,5,5,5,34,0.37796447300922725
qwen3:4b,1,2,False,4,4,5,4,4,4,5,30,0.48795003647426655
qwen3:4b,1,3,False,3,1,1,5,5,4,5,24,1.8126539343499313
qwen3:4b,1,4,False,4,5,4,2,5,5,4,29,1.0690449676496974
qwen3:4b,1,5,False,5,5,4,4,5,5,5,33,0.4879500364742666
qwen3:4b,1,6,False,4,5,5,5,4,5,5,33,0.48795003647426655
qwen3:4b,1,7,False,5,5,5,4,5,5,5,34,0.37796447300922725
qwen3:4b,1,8,False,2,4,5,4,4,4,2,25,1.1338934190276817
qwen3:4b,1,9,False,1,4,5,4,3,4,5,26,1.3801311186847083
qwen3:4b,1,10,False,5,5,5,5,5,1,5,31,1.511857892036909
smollm2:135m,1,1,False,1,1,1,1,1,1,1,7,0.0
smollm2:135m,1,4,False,1,1,1,1,1,1,1,7,0.0
smollm2:135m,1,5,False,1,1,1,1,1,1,1,7,0.0
smollm2:135m,1,6,False,1,1,1,1,1,1,1,7,0.0
smollm2:135m,1,7,False,1,1,1,1,1,1,1,7,0.0
smollm2:135m,1,8,False,1,1,1,2,1,1,1,8,0.37796447300922725
smollm2:135m,1,10,False,1,1,1,1,1,1,1,7,0.0
smollm2:135m,1,11,False,1,1,1,1,1,1,1,7,0.0
smollm2:135m,1,12,False,1,1,1,1,1,1,1,7,0.0
smollm2:135m,1,14,False,1,1,1,1,1,1,1,7,0.0
deepseek-r1:14b,2,1,True,4,4,5,4,4,5,4,30,0.4879500364742666
deepseek-r1:14b,2,2,True,4,3,5,5,4,5,3,29,0.8997354108424375
deepseek-r1:14b,2,3,True,4,4,3,2,5,4,3,25,0.9759000729485332
deepseek-r1:14b,2,4,True,5,4,4,4,3,3,3,26,0.7559289460184545
deepseek-r1:14b,2,5,True,4,4,4,3,4,3,5,27,0.6900655593423543
deepseek-r1:14b,2,6,True,4,4,4,5,3,1,4,25,1.2724180205607034
deepseek-r1:14b,2,7,True,3,5,5,4,5,5,5,32,0.7867957924694431
deepseek-r1:14b,2,8,True,4,2,3,4,4,5,4,26,0.951189731211342
deepseek-r1:14b,2,9,True,3,4,4,5,5,5,3,29,0.8997354108424372
deepseek-r1:14b,2,10,True,4,2,5,4,5,5,3,28,1.1547005383792515
deepseek-r1:32b,2,1,True,4,5,5,4,4,4,5,31,0.5345224838248488
deepseek-r1:32b,2,2,True,5,4,5,4,5,5,5,33,0.4879500364742666
deepseek-r1:32b,2,3,True,4,5,4,4,5,4,5,31,0.5345224838248488
deepseek-r1:32b,2,4,True,4,3,4,3,4,4,3,25,0.5345224838248487
deepseek-r1:32b,2,5,True,3,4,3,5,3,3,2,23,0.9511897312113419
deepseek-r1:32b,2,6,True,3,1,5,4,4,5,4,26,1.3801311186847083
deepseek-r1:32b,2,7,True,4,2,3,3,4,4,2,22,0.8997354108424372
deepseek-r1:32b,2,8,True,4,4,4,4,4,3,5,28,0.5773502691896257
deepseek-r1:32b,2,9,True,3,2,3,3,2,3,2,18,0.5345224838248488
