model-name,phase,attempt,intervention,score_criteria1,score_criteria2,score_criteria3,score_criteria4,score_criteria5,score_criteria6,score_criteria7,compound_score,std_score
deepseek-r1:14b,1,1,False,2,2,2,3,1,1,1,12,0.7559289460184545
deepseek-r1:14b,1,2,False,2,2,3,4,2,1,3,17,0.9759000729485333
deepseek-r1:14b,1,3,False,2,1,3,3,1,2,3,15,0.8997354108424372
deepseek-r1:14b,1,4,False,2,2,1,2,2,2,3,14,0.5773502691896257
deepseek-r1:14b,1,5,False,1,2,2,1,2,2,3,13,0.6900655593423543
deepseek-r1:14b,1,6,False,2,1,1,1,2,1,1,9,0.48795003647426666
deepseek-r1:14b,1,7,False,1,1,2,2,3,1,2,12,0.7559289460184545
deepseek-r1:14b,1,8,False,2,3,2,2,3,1,1,14,0.816496580927726
deepseek-r1:14b,1,9,False,1,1,2,2,1,2,3,12,0.7559289460184545
deepseek-r1:14b,1,10,False,2,2,1,2,1,1,1,10,0.5345224838248488
deepseek-r1:32b,1,1,False,1,1,1,1,1,1,1,7,0.0
deepseek-r1:32b,1,2,False,1,1,1,1,2,4,1,11,1.1338934190276817
deepseek-r1:32b,1,3,False,3,3,4,2,3,1,3,19,0.951189731211342
deepseek-r1:32b,1,4,False,2,3,3,1,1,3,4,17,1.1338934190276817
deepseek-r1:32b,1,5,False,2,1,2,1,4,2,1,13,1.0690449676496976
deepseek-r1:32b,1,6,False,2,1,2,2,1,2,2,12,0.48795003647426666
deepseek-r1:32b,1,7,False,2,1,2,3,1,4,2,15,1.0690449676496976
deepseek-r1:32b,1,8,False,1,2,1,2,1,3,1,11,0.7867957924694431
deepseek-r1:32b,1,9,False,1,1,1,2,2,1,1,9,0.48795003647426666
deepseek-r1:32b,1,10,False,1,3,2,3,1,1,4,15,1.2149857925879117
deepseek-v3.1:671b-cloud,1,1,False,5,1,5,5,5,5,5,31,1.5118578920369092
deepseek-v3.1:671b-cloud,1,2,False,5,1,5,5,5,5,5,31,1.5118578920369092
deepseek-v3.1:671b-cloud,1,3,False,5,1,5,4,1,1,1,18,1.9880595947760098
deepseek-v3.1:671b-cloud,1,4,False,2,1,1,1,1,1,1,8,0.3779644730092273
deepseek-v3.1:671b-cloud,1,5,False,1,1,2,4,5,1,5,19,1.889822365046136
deepseek-v3.1:671b-cloud,1,6,False,1,1,1,1,1,1,1,7,0.0
